Date,ABBV,BIIB,DHR,JNJ,LLY,MRK,NVS,PFE,UNH
2012-11-01,,139.02999877929688,37.81654357910156,53.984100341796875,38.09296798706055,31.825088500976562,38.17588806152344,16.139392852783203,48.78998947143555
2012-11-02,,138.41000366210938,37.5634651184082,53.53107833862305,37.66627502441406,31.86665153503418,38.0692024230957,16.139392852783203,48.01893997192383
2012-11-05,,139.60000610351562,37.744239807128906,53.448020935058594,37.84471130371094,31.638050079345703,37.968788146972656,16.159114837646484,47.35927200317383
2012-11-06,,140.3000030517578,38.178070068359375,53.6141242980957,37.84471130371094,31.81123924255371,37.868370056152344,16.24458122253418,48.31023025512695
2012-11-07,,138.35000610351562,37.57793426513672,53.10824203491211,37.379215240478516,30.79981803894043,37.71774673461914,16.032312393188477,46.485416412353516
2012-11-08,,135.61000061035156,37.50562286376953,52.58728790283203,36.82838821411133,30.370302200317383,37.7052001953125,16.02568817138672,45.78291320800781
2012-11-09,,138.0500030517578,37.614078521728516,52.7534065246582,36.82838821411133,30.515792846679688,37.84326934814453,16.032312393188477,45.320289611816406
2012-11-12,,139.47999572753906,37.650238037109375,52.609954833984375,37.472312927246094,30.49500846862793,37.65499496459961,15.99251937866211,44.7205810546875
2012-11-13,,138.02000427246094,37.67915344238281,52.48160171508789,36.947200775146484,30.25946617126465,37.61733627319336,15.952726364135742,44.71200942993164
2012-11-14,,136.3000030517578,37.173004150390625,52.30038833618164,36.226112365722656,29.823026657104492,37.42279052734375,15.793529510498047,43.90671157836914
2012-11-15,,137.92999267578125,37.295928955078125,52.149375915527344,36.022335052490234,29.649845123291016,37.00857925415039,15.694031715393066,43.90671157836914
2012-11-16,,141.24000549316406,37.5923957824707,52.239986419677734,35.98313522338867,29.836891174316406,37.027408599853516,15.82669448852539,44.46356201171875
2012-11-19,,143.52999877929688,38.2503662109375,52.2852783203125,36.8609619140625,30.023923873901367,37.334930419921875,16.012420654296875,45.3288459777832
2012-11-20,,148.14999389648438,38.062381744384766,52.60240173339844,36.98637008666992,30.176340103149414,37.08388900756836,16.105276107788086,45.52588653564453
2012-11-21,,147.36000061035156,38.35161209106445,52.5419921875,37.16664505004883,30.404951095581055,37.28471755981445,16.151716232299805,45.86001968383789
2012-11-23,,149.8699951171875,38.6769905090332,52.9837646484375,37.417449951171875,30.675119400024414,38.044097900390625,16.271108627319336,46.19414138793945
2012-11-26,,149.11000061035156,38.09854507446289,52.62576675415039,37.56637954711914,30.61970329284668,38.113128662109375,16.24458122253418,45.86001968383789
2012-11-27,,147.8800048828125,37.751468658447266,52.412513732910156,37.37042236328125,30.398019790649414,38.000160217285156,16.08538055419922,45.054710388183594
2012-11-28,,149.4600067138672,38.178070068359375,52.778133392333984,37.652587890625,30.89679527282715,38.45829772949219,16.363977432250977,45.191776275634766
2012-11-29,,150.3000030517578,38.78544998168945,52.72480392456055,38.07581329345703,30.973007202148438,38.87877655029297,16.48337173461914,46.57109451293945
2012-11-30,,149.08999633789062,39.02407455444336,53.11326217651367,38.43636703491211,30.688966751098633,38.94153594970703,16.59613800048828,46.59679412841797
2012-12-03,,150.5500030517578,38.626380920410156,53.05232620239258,38.34230422973633,30.78595733642578,39.14863586425781,16.64257049560547,46.16843795776367
2012-12-04,,151.86000061035156,38.50345230102539,53.21229934692383,38.57743453979492,30.758251190185547,39.343196868896484,16.69563102722168,45.86859130859375
2012-12-05,,150.5500030517578,38.57575988769531,53.29608154296875,38.85960388183594,30.75132179260254,39.16119384765625,17.007394790649414,46.12559127807617
2012-12-06,,151.72999572753906,38.37330627441406,53.357017517089844,38.718536376953125,30.834453582763672,39.23649978637695,16.98749351501465,45.96281814575195
2012-12-07,,151.2899932861328,38.684226989746094,53.66169357299805,38.89878463745117,30.91757583618164,39.11098861694336,16.954328536987305,46.33526611328125
2012-12-10,,153.13999938964844,38.61915588378906,53.775936126708984,39.28282928466797,30.813663482666016,39.2616081237793,16.854827880859375,46.61050033569336
2012-12-11,,154.22000122070312,38.70591354370117,54.15681076049805,39.65903854370117,31.305513381958008,39.66326141357422,17.007394790649414,47.10077667236328
2012-12-12,,152.35000610351562,39.54867935180664,54.0501594543457,38.405006408691406,31.3540096282959,39.68836212158203,16.921154022216797,47.522254943847656
2012-12-13,,151.55999755859375,39.70783233642578,53.89020919799805,37.80149841308594,30.73855209350586,39.58167266845703,16.80176544189453,46.77392578125
2012-12-14,,151.25,39.4401741027832,53.844505310058594,37.45663833618164,30.451797485351562,39.656982421875,16.702260971069336,46.49009323120117
2012-12-17,,152.64999389648438,40.0767707824707,54.034942626953125,37.88771438598633,30.514739990234375,39.87663650512695,16.821666717529297,46.75673294067383
2012-12-18,,153.4199981689453,40.74954605102539,54.04254913330078,38.812557220458984,30.941368103027344,40.140220642089844,17.007394790649414,47.264217376708984
2012-12-19,,151.30999755859375,40.272090911865234,53.79880142211914,38.34230422973633,30.535730361938477,40.13394546508789,16.815027236938477,46.86854553222656
2012-12-20,,151.2100067138672,40.87251281738281,53.89020919799805,38.600955963134766,29.48663330078125,40.01469421386719,16.86809730529785,47.702857971191406
2012-12-21,,149.91000366210938,40.55422592163086,53.52458190917969,38.83608627319336,29.039011001586914,39.656982421875,16.63593864440918,47.3330192565918
2012-12-24,,149.07000732421875,40.467411041259766,53.33415985107422,38.43636703491211,28.969066619873047,39.58167266845703,16.63593864440918,47.17818832397461
2012-12-26,,148.42999267578125,40.26487350463867,53.44841766357422,38.4520378112793,28.913122177124023,39.58167266845703,16.742067337036133,46.63630294799805
