Date,BAC,C,GS,JPM,MA,MS,SCHW,V,WFC
2012-11-01,8.316267967224121,31.47037696838379,117.42410278320312,32.45960998535156,44.17984390258789,14.186264038085938,12.152824401855469,33.46792221069336,25.401302337646484
2012-11-02,8.410188674926758,31.18013572692871,115.91928100585938,32.141380310058594,44.25148010253906,14.323210716247559,12.241921424865723,33.35626983642578,25.162656784057617
2012-11-05,8.324806213378906,30.947946548461914,116.69992065429688,32.02772521972656,43.89327621459961,14.299050331115723,12.375567436218262,32.9143180847168,25.37148094177246
2012-11-06,8.48703384399414,31.90159034729004,118.7408447265625,32.48991012573242,44.471099853515625,14.6535005569458,12.375567436218262,33.46328353881836,25.595211029052734
2012-11-07,7.8808159828186035,29.894784927368164,110.96273803710938,30.671445846557617,43.80372619628906,13.396796226501465,11.919201850891113,33.160884857177734,24.702007293701172
2012-11-08,8.017430305480957,29.853322982788086,108.41390228271484,30.610830307006836,43.530372619628906,13.308185577392578,11.811820030212402,33.04457473754883,24.28167724609375
2012-11-09,8.051584243774414,29.795276641845703,109.24158477783203,30.777536392211914,43.799964904785156,13.380681991577148,11.686546325683594,33.24693298339844,24.28167724609375
2012-11-12,8.017430305480957,30.201622009277344,110.26673889160156,30.747209548950195,44.30331802368164,13.509577751159668,11.58810806274414,33.31904983520508,24.29668426513672
2012-11-13,7.9661970138549805,29.985994338989258,109.54253387451172,30.33807373046875,44.41832733154297,13.308185577392578,11.346510887145996,33.135284423828125,24.033981323242188
2012-11-14,7.675898551940918,29.040651321411133,107.4451675415039,29.76979637145996,43.67271423339844,12.961784362792969,11.185437202453613,32.629364013671875,23.591129302978516
2012-11-15,7.761282920837402,29.198209762573242,108.57379150390625,29.845565795898438,43.09297561645508,13.098731994628906,11.39124870300293,32.64100646972656,23.696208953857422
2012-11-16,7.786896228790283,29.00748062133789,108.95000457763672,29.951641082763672,43.79335403442383,13.034283638000488,11.435990333557129,33.27285385131836,23.97393226623535
2012-11-19,8.102813720703125,29.93624496459961,111.2636947631836,30.754796981811523,45.121524810791016,13.308185577392578,11.534423828125,33.95830535888672,24.319204330444336
2012-11-20,8.222347259521484,29.853322982788086,111.06616973876953,30.83815574645996,45.016876220703125,13.171231269836426,11.606008529663086,34.11919403076172,24.709508895874023
2012-11-21,8.34188461303711,29.662595748901367,110.69937133789062,30.86087417602539,45.19221496582031,13.09067440032959,11.686546325683594,34.193790435791016,24.461820602416992
2012-11-23,8.452880859375,29.87820053100586,113.15414428710938,31.13364601135254,45.362823486328125,13.23568058013916,11.838664054870605,34.53419876098633,24.919679641723633
2012-11-26,8.401651382446289,29.496747970581055,113.74665832519531,30.97453498840332,45.24876022338867,13.380681991577148,11.767075538635254,34.33134841918945,24.69449806213379
2012-11-27,8.247965812683105,29.05723762512207,111.36715698242188,30.87602996826172,45.10359191894531,13.396796226501465,11.659699440002441,34.22175979614258,24.491838455200195
2012-11-28,8.333346366882324,29.082109451293945,112.23241424560547,30.93665313720703,45.38827896118164,13.598190307617188,11.758132934570312,34.340667724609375,24.626943588256836
2012-11-29,8.393111228942871,29.198209762573242,111.66812896728516,31.232141494750977,45.831321716308594,13.582079887390137,11.71338939666748,34.548179626464844,24.889659881591797
2012-11-30,8.418725967407227,28.6674747467041,110.78401184082031,31.126073837280273,46.06413650512695,13.590139389038086,11.722332954406738,34.904903411865234,24.777067184448242
2012-12-03,8.367497444152832,28.377235412597656,111.35774230957031,30.921497344970703,45.87279510498047,13.267901420593262,11.623905181884766,34.65544128417969,24.581907272338867
2012-12-04,8.461419105529785,28.435293197631836,109.64598846435547,30.73965072631836,45.56831359863281,13.380681991577148,11.52547550201416,34.410614013671875,24.574405670166016
2012-12-05,8.940045356750488,30.23478126525879,110.16327667236328,31.21698570251465,45.05741500854492,13.678751945495605,11.570219039916992,34.520198822021484,24.754549026489258
2012-12-06,8.940045356750488,30.69916534423828,110.22911834716797,31.42157554626465,45.32888412475586,13.485411643981934,11.686546325683594,34.61579895019531,24.874637603759766
2012-12-07,9.093890190124512,31.213302612304688,109.6365737915039,32.24745559692383,44.87736892700195,13.67069149017334,12.008687019348145,34.634456634521484,24.942190170288086
2012-12-10,9.03406047821045,30.840131759643555,110.05042266845703,32.05803680419922,45.20823669433594,13.702917098999023,11.963942527770996,34.66008758544922,24.80708885192871
2012-12-11,8.982780456542969,30.68257713317871,111.79039764404297,32.308074951171875,45.389217376708984,14.299050331115723,12.232393264770508,34.71603775024414,24.987232208251953
2012-12-12,9.06825065612793,31.12208366394043,111.06616973876953,32.40657043457031,45.57019805908203,14.258769989013672,12.232393264770508,34.478233337402344,25.144851684570312
2012-12-13,9.0084228515625,30.923063278198242,111.45179748535156,32.414154052734375,45.663509368896484,14.33932113647461,12.30398178100586,34.3196907043457,24.964712142944336
2012-12-14,9.042607307434082,31.18013572692871,112.2606430053711,32.436885833740234,45.462745666503906,14.540715217590332,12.259241104125977,34.23109817504883,24.882150650024414
2012-12-17,9.40157699584961,32.465484619140625,116.14498901367188,32.94453430175781,46.12445831298828,14.927397727966309,12.411360740661621,34.76968765258789,25.805376052856445
2012-12-18,9.70926570892334,32.722564697265625,120.17042541503906,33.24004364013672,46.460044860839844,15.402692794799805,12.715606689453125,35.14037322998047,26.240718841552734
2012-12-19,9.563966751098633,32.714263916015625,119.68134307861328,32.982418060302734,46.13106155395508,15.37852668762207,12.948261260986328,34.776676177978516,25.985523223876953
2012-12-20,9.846014976501465,33.31132888793945,122.00445556640625,33.7401123046875,46.99262237548828,15.523530960083008,12.939313888549805,35.54607391357422,26.315778732299805
