Date,COST,KO,PEP,PG,PM,UL,WMT
2018-01-02,175.80010986328125,39.11937713623047,102.67637634277344,79.1125259399414,79.95160675048828,46.236244201660156,90.31417846679688
2018-01-03,177.9098663330078,39.033470153808594,102.40679168701172,79.01653289794922,79.85203552246094,46.17723846435547,91.10198974609375
2018-01-04,176.52825927734375,39.583248138427734,102.91120147705078,79.57508087158203,79.24698638916016,46.455421447753906,91.1844253540039
2018-01-05,175.2680206298828,39.57465744018555,103.20692443847656,79.62743377685547,79.88267517089844,46.81789016723633,91.72489929199219
2018-01-08,175.94947814941406,39.5145263671875,102.61552429199219,80.04634857177734,79.76012420654297,46.89375686645508,93.08068084716797
2018-01-09,173.905029296875,39.71209716796875,102.69377899169922,79.46162414550781,80.33454895019531,46.42170333862305,91.96306610107422
2018-01-10,173.09291076660156,39.57465744018555,102.17195892333984,78.95543670654297,80.90130615234375,45.5955924987793,91.30352020263672
2018-01-11,176.7896728515625,39.548885345458984,101.65016174316406,78.67615509033203,80.31156158447266,45.53659439086914,91.62413787841797
2018-01-12,179.08607482910156,39.64338302612305,102.08499908447266,78.20488739013672,80.03584289550781,45.958072662353516,92.40279388427734
2018-01-16,178.7967071533203,39.96979522705078,102.50245666503906,78.73725128173828,80.31922912597656,46.38798141479492,92.23790740966797
2018-01-17,179.50616455078125,40.218910217285156,103.65044403076172,79.59252166748047,81.02385711669922,46.978057861328125,94.07919311523438
2018-01-18,178.77804565429688,40.270442962646484,103.53738403320312,79.3023452758789,80.47241973876953,47.096073150634766,95.54488372802734
2018-01-19,179.50616455078125,40.51097869873047,104.5114517211914,80.0849838256836,83.42108917236328,48.11604690551758,95.81050872802734
2018-01-22,181.45724487304688,40.699954986572266,105.6768569946289,80.80607604980469,83.33686065673828,48.07390213012695,96.59832763671875
2018-01-23,180.56106567382812,40.76008987426758,105.49420928955078,78.30863952636719,83.88831329345703,48.34364318847656,97.01056671142578
2018-01-24,181.32652282714844,41.08651351928711,105.35504913330078,77.65789031982422,84.70780944824219,48.60496139526367,96.9097900390625
2018-01-25,184.78988647460938,41.09510040283203,105.1463394165039,77.68428802490234,82.32587432861328,47.812583923339844,97.65179443359375
2018-01-26,185.6860809326172,41.68781661987305,105.8942642211914,77.14786529541016,84.393798828125,48.082332611083984,99.29154205322266
2018-01-29,185.13531494140625,40.97483444213867,104.07659149169922,76.38279724121094,83.18366241455078,47.163509368896484,100.35417938232422
2018-01-30,184.75253295898438,40.725730895996094,104.26792907714844,76.4619140625,82.67051696777344,47.5596923828125,98.68696594238281
2018-01-31,181.91465759277344,40.880348205566406,104.62452697753906,75.92552185058594,82.1267318725586,47.60184097290039,97.65179443359375
2018-02-01,180.60772705078125,40.76008987426758,104.62452697753906,75.49462127685547,80.54898834228516,48.41950607299805,96.6624526977539
2018-02-02,178.2926025390625,40.141597747802734,103.20692443847656,74.08760833740234,79.22400665283203,47.83786392211914,95.70976257324219
2018-02-05,170.61907958984375,38.56101989746094,99.54547882080078,71.28240203857422,75.58601379394531,45.45229721069336,91.6882553100586
2018-02-06,172.7101593017578,38.372032165527344,98.76275634765625,72.44319915771484,76.84207916259766,45.89906692504883,92.4302749633789
2018-02-07,171.01113891601562,38.277549743652344,98.71055603027344,71.96830749511719,75.7315444946289,45.19940948486328,94.21659851074219
2018-02-08,166.7356719970703,37.023380279541016,95.79708862304688,70.5437240600586,76.88802337646484,44.466033935546875,91.62413787841797
2018-02-09,168.70538330078125,37.04916763305664,96.69287109375,70.27989959716797,76.54338836669922,44.162574768066406,91.02869415283203
2018-02-12,169.0227813720703,37.77072525024414,97.34515380859375,71.51983642578125,78.42748260498047,44.988670349121094,91.193603515625
2018-02-13,171.9073028564453,37.959712982177734,97.52776336669922,71.66932678222656,78.92529296875,44.74421691894531,92.50355529785156
2018-02-14,174.8946075439453,37.88240051269531,94.89259338378906,70.9482421875,78.5346908569336,44.92967224121094,93.16312408447266
2018-02-15,179.22833251953125,38.466529846191406,96.51024627685547,72.46955108642578,79.41548156738281,45.707462310791016,94.56468963623047
2018-02-16,179.30325317382812,38.638328552246094,96.58851623535156,72.63665771484375,79.89031982421875,45.52045440673828,95.98458862304688
2018-02-20,176.08334350585938,37.78791046142578,95.21438598632812,71.52862548828125,78.7721176147461,44.534393310546875,86.21024322509766
2018-02-21,173.86495971679688,37.229557037353516,93.92723846435547,70.56130981445312,79.43846130371094,43.89684295654297,83.83765411376953
2018-02-22,174.6512451171875,37.384178161621094,95.0230712890625,71.08895111083984,78.87169647216797,44.27936935424805,84.98271179199219
2018-02-23,177.6652069091797,37.83086395263672,95.38835906982422,71.27362823486328,81.26895141601562,44.84891128540039,85.09263610839844
2018-02-26,180.4732666015625,37.822261810302734,96.4841537475586,71.78363800048828,81.70551300048828,45.73296356201172,85.30335235595703
2018-02-27,177.93667602539062,37.47007751464844,96.44065856933594,70.82513427734375,79.71415710449219,44.134857177734375,83.83765411376953
2018-02-28,178.68545532226562,37.1264762878418,95.43183135986328,69.04877471923828,79.3082504272461,43.86284637451172,82.45439147949219
2018-03-01,176.9351043701172,37.30685806274414,94.72654724121094,69.20706939697266,80.17371368408203,43.5228271484375,81.60247039794922
2018-03-02,177.2159423828125,37.555973052978516,95.5325698852539,69.91057586669922,81.8050765991211,44.02435302734375,81.31847381591797
2018-03-05,179.22833251953125,37.70200729370117,95.87427520751953,70.60530090332031,82.48670959472656,44.50038146972656,82.42691040039062
2018-03-06,179.20965576171875,37.736366271972656,96.00567626953125,70.36784362792969,82.70116424560547,44.34737777709961,81.58415222167969
